source;sourceField;target;targetField;type
UP2_Activity;AU_RA_PEP_ID_NAME;Activity;PEP ID name;
UP2_Activity;AU_RA_PEP_ID_DESC;Activity;PEP ID description;
UP2_Activity;;Activity;PDT;
UP2_Activity;;Activity;IPT;
UP2_Activity;;Activity;Activity Maturity;
UP2_Activity;;Activity;MSN impacted List;
UP2_Activity;;Activity;Project Phase;
UP2_Activity;;Activity;Major Milestone;
UP2_Activity;;Activity;Technical Milestone;
UP2_Activity;;Activity;PDP CLx;
UP2_Activity;;Activity;Supplier Process;
UP2_Activity;RD;Activity;Remaining duration;
UP2_Activity;AB_NF_WBS_ELEMENT_ONB;Activity;;
UP2_Activity;AB_AA_D_BASELINE_DATE;Activity;;
UP2_Activity;AB_AA_D_BASELINE_START;Activity;;
UP2_Activity;AB_AA_DYN_ACHIEVED_DATE;Activity;;
UP2_Activity;;Activity;Activity complexity ;
UP2_Activity;;Activity;Continuation status;
UP2_Activity;;Activity;Customer;
UP2_Activity;;Activity;Delegated to;
UP2_Activity;;Activity;Development;
UP2_Activity;;Activity;Focal Point;
UP2_Activity;;Activity;Level;
UP2_Activity;;Activity;Milestone Status;
UP2_Activity;;Activity;OBS element;
UP2_Activity;;Activity;Partners;
UP2_Activity;;Activity;Partner's level;
UP2_Activity;;Activity;Percent complete;
UP2_Activity;;Activity;POE;
UP2_Activity;;Activity;Product complexity;
UP2_Activity;;Activity;Relationship;
UP2_Activity;;Activity;Start no earlier than;
UP2_Activity;;Activity;Last schedulte update;
UP2_Activity;;Activity;Schedule free field #1;
UP2_Activity;;Activity;Schedule free field #2;
UP2_Activity;;Activity;Schedule free field #3;
UP2_Activity;;Activity;Activity: ABP Processes;
UP2_Activity;;Activity;Activity: Targeted A/C Programme;
UP2_Activity;;Activity;Targeted A/C programme;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;;Activity;;
UP2_Activity;ONB;Activity;Activity ONB;NUMBER(20,0)
UP2_Activity;DESCRIPTION;Activity;Description;
UP2_Activity;NAME;Activity;Name;VARCHAR2(80 CHAR)
UP2_Activity;NOTE_PAD;Activity;Note pad;
UP2_Activity;DU;Activity;Duration;
UP2_Activity;ACTUAL_START;Activity;Actual start;
UP2_Activity;EXPECTED_FINISH;Activity;Expected finish;
UP2_Activity;FNL;Activity;Finish no later than;
UP2_Activity;AF;Activity;Actual finish;
UP2_Activity;IS_A_TASK;Activity;Is a task?;
UP2_Activity;AB_NF_PROJECT_ONB;Activity;Project ONB;
UP2_Activity;AB_NF_WBS_TYPE_ONB;Activity;Activity type;
UP2_Activity;AB_AA_D_DYN_START_DATE;Activity;Planned start;
UP2_ActivityType;IDENT;ActivityType;Identifier;
UP2_ActivityType;;ActivityType;Order;
UP2_ActivityType;;ActivityType;Notepad;
UP2_ActivityType;;ActivityType;Next activity type;
UP2_ActivityType;ONB;ActivityType;Internal number;
UP2_ActivityType;NAME;ActivityType;Detailed type;
UP2_ActivityType;DESCRIPTION;ActivityType;Description;
UP2_ActivityType;PARENT;ActivityType;Parent Activity Type;NUMBER(20,0)
ActivityType;Node;Activity;ActivityType;
ActivitySorting;Node;Activity;SortingFields;
